name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,style,course_type,complexity,season,type
Schinkennudeln (Ham & Cheese Pasta),14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[high-fiber],"['cheese', 'garlic', 'oil', 'pepper', 'salt', 'water']","[salty, umami, fatty]",3067.67035550958,sibarita,main_course,low,"['spring', 'summer']",pasta
Ken's Kickin' Posole,42.0,"[red wine, herbal tea]","[fork, knife]",hot,"[gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['cilantro', 'cumin', 'garlic', 'onion', 'salt']","[salty, sour, umami]",5018.223612067175,fusion,main_course,medium,['winter'],soup
Jay's Spicy Slow Cooker Turkey Chili,28.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]",[high-fiber],"['pepper', 'salt']","[salty, sour, umami]",2572.119255032813,regional,main_course,high,"['spring', 'summer', 'autumn', 'winter']",soup
Caramel Pretzel Brownies,42.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],['vanilla'],"[sweet, salty]",4490.651337040623,modern,dessert,low,['autumn'],cream
Skinny Tangy Smoked Salmon Layered Salad,21.0,"[red wine, herbal tea]",[fork],cold,"[pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['garlic', 'honey', 'lemon', 'oil', 'pepper', 'salt']","[sour, salty]",1091.81168645,classic,starter,medium,"['spring', 'summer', 'autumn', 'winter']",salad
Carrot-Ginger Zinger Soup,21.0,"[sparkling water, white wine]",[spoon],hot,"[vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['carrots', 'garlic', 'oil', 'pepper', 'salt']",[salty],766.4051634522469,classical,starter,medium,['winter'],soup
Sticky Asian BBQ Boneless Oven Baked Chicken Wings.,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, mollusk-free, alcohol-free]",[balanced],"['cinnamon', 'garlic', 'honey', 'pepper']","[salty, sweet]",2195.6635442133534,sibarita,main_course,high,"['spring', 'summer', 'autumn', 'winter']",poultry
Cheesecake Ice Cream,17.5,"[red wine, herbal tea]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[],"['cream', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",1968.5186475,regional,dessert,low,"['spring', 'summer', 'autumn', 'winter']",cream
Black Bean and Corn Salsa,14.0,"[sparkling water, white wine]",[fork],cold,"[vegan, vegetarian, pescatarian, mediterranean, dash, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]","[high-fiber, low-fat]","['cilantro', 'garlic', 'onion', 'salt']",[salty],836.7557799996417,fusion,starter,low,"['spring', 'summer', 'autumn', 'winter']",legume
Moroccan Chicken Tagine,21.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['cinnamon', 'cumin', 'flour', 'garlic', 'honey', 'oil', 'onion', 'pepper', 'salt']","[salty, umami]",2289.04861359952,classic,main_course,high,['spring'],poultry
